angle_rad, radius_px
1.742602175038088452e+00,4.317404019351461102e+02
1.745670136613859613e+00,4.316723235837652055e+02
1.748738098189630996e+00,4.309106678553549727e+02
1.751806059765402157e+00,4.311526504887379474e+02
1.754874021341173540e+00,4.313946331221209789e+02
1.757941982916944701e+00,4.306254245901839681e+02
1.761009944492716084e+00,4.308916860981786954e+02
1.764077906068487245e+00,4.311579476061734226e+02
1.767145867644258628e+00,4.314242091141680930e+02
1.770213829220030011e+00,4.316904706221628203e+02
1.773281790795801172e+00,4.319567321301575475e+02
1.776349752371572555e+00,4.322229936381522180e+02
1.779417713947343715e+00,4.324892551461469452e+02
